City,Code
Абакан,ABA
Алдан,ADH
Амдерма,AMV
Анадырь,DYR
Анапа,AAQ
Архангельск,ARH
Астрахань,ASF
Ачинск,ACS
Балаково,BWO
Барнаул,BAX
Белгород,EGO
Белорецк,BCX
Благовещенск,BQS
Братск,BTK
Брянск,BZK
Бугульма,UUA
Великие Луки,VLU
Великий Устюг,VUS
Владивосток,VVO
Владикавказ,OGZ
Волгоград,VOG
Волгодонск,VLK
Вологда,VGD
Воркута,VKT
Воронеж,VOZ
Геленджик,GDZ
Грозный,GRV
Диксон,DKS
Екатеринбург,SVX
Енисейск,EIE
Игарка,IAA
Ижевск,IJK
Инта,INA
Йошкар-Ола,JOK
Иркутск,IKT
Кавалерово,KVR
Казань,KZN
Калинин,KLD
Калининград,KGD
Калуга,KLF
Кемерово,KEJ
Киров,KVX
Кировск,KVK
Когалым,KGP
Комсомольск-на-Амуре,KXK
Кострома,KMW
Котлас,KSZ
Краснодар,KRR
Красноярск,KJA
Курган,KRO
Лешуконское,LDG
Липецк,LPK
Магадан,GDX
Магдагачи,GDG
Магнитогорск,MQF
Махачкала,MCX
Минеральные Воды,MRV
Мирный,MJZ
Москва,MOW
Мурманск,MMK
Надым,NYM
Нальчик,NAL
Нарьян-Мар,NNM
Нерюнгри,NER
Нефтекамск,NEF
Нефтеюганск,NFG
Нижневартовск,NJC
Нижнекамск,NBC
Нижний Новгород,GOJ
Новгород,NVR
Новокузнецк,NOZ
Новороссийск,NOI
Новосибирск,OVB
Новый Уренгой,NUX
Норильск,NSK
Октябрьский,OKT
Орел,OEL
Оренбург,REN
Орск,OSW
Охотск,OHO
Певек,PWE
Пенза,PEZ
Пермь,PEE
Петрозаводск,PES
Петропавловск-Камчатский,PKC
Печора,PEX
Пластун,TLY
Полярный,PYJ
Провидения,PVS
Псков,PKV
Радужный,RAT
Ростов-на-Дону,ROV
Рыбинск,RYB
Рязань,RZN
Салехард,SLY
Самара,KUF
Санкт-Петербург,LED
Саранск,SKX
Саратов,RTW
Северодонецк,SEV
Смоленск,LNX
Соловецкий,CSH
Сочи/Адлер,AER
Ставрополь,STW
Стрежевой,SWT
Сургут,SGC
Сыктывкар,SCW
Тамбов,TBW
Тикси,IKS
Тобольск,TOX
Томск,TOF
Тула,TYA
Тында,TYD
Тюмень,TJM
Улан-Удэ,UUD
Ульяновск,ULY
Урай,URJ
Усинск,USK
Усть-Илимск,UIK
Усть-Кут,UKX
Уфа,UFA
Ухта,UCT
Хабаровск,KHV
Ханты-Мансийск,HMA
Хатанга,HTG
Чебоксары,CSY
Челябинск,CEK
Череповец,CEE
Черский,CYX
Чита,HTA
Чкаловский,CKL
Чокурдах,CKH
Чульман,CNN
Элиста,ESL
Южно-Сахалинск,UUS
Якутск,YKS
Ярославль,IAR
